timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,Latency
1373457459913,23,Nearby Products,200,OK,Thread Group 1-1,text,true,2349,23
1373457459939,25,Nearby Products,200,OK,Thread Group 1-1,text,true,2349,22
1373457459967,13,Nearby Products,200,OK,Thread Group 1-1,text,true,2349,10
1373457459983,13,Nearby Products,200,OK,Thread Group 1-1,text,true,2349,9
1373457459998,12,Nearby Products,200,OK,Thread Group 1-1,text,true,2349,10
1373457460012,14,Nearby Products,200,OK,Thread Group 1-1,text,true,2349,12
1373457460028,16,Nearby Products,200,OK,Thread Group 1-1,text,true,2349,13
1373457460046,9,Nearby Products,200,OK,Thread Group 1-1,text,true,2349,9
1373457460057,14,Nearby Products,200,OK,Thread Group 1-1,text,true,2349,13
1373457460073,14,Nearby Products,200,OK,Thread Group 1-1,text,true,2349,13
1373457460089,15,Nearby Products,200,OK,Thread Group 1-1,text,true,2349,12
1373457460105,15,Nearby Products,200,OK,Thread Group 1-1,text,true,2349,12
1373457460121,15,Nearby Products,200,OK,Thread Group 1-1,text,true,2349,13
1373457460138,13,Nearby Products,200,OK,Thread Group 1-1,text,true,2349,11
1373457460153,15,Nearby Products,200,OK,Thread Group 1-1,text,true,2349,15
1373457460170,10,Nearby Products,200,OK,Thread Group 1-1,text,true,2349,9
1373457460181,15,Nearby Products,200,OK,Thread Group 1-1,text,true,2349,14
1373457460198,14,Nearby Products,200,OK,Thread Group 1-1,text,true,2349,13
1373457460214,14,Nearby Products,200,OK,Thread Group 1-1,text,true,2349,12
1373457460230,14,Nearby Products,200,OK,Thread Group 1-1,text,true,2349,12
1373457460245,14,Nearby Products,200,OK,Thread Group 1-1,text,true,2349,14
1373457460261,13,Nearby Products,200,OK,Thread Group 1-1,text,true,2349,13
1373457460276,13,Nearby Products,200,OK,Thread Group 1-1,text,true,2349,13
1373457460290,14,Nearby Products,200,OK,Thread Group 1-1,text,true,2349,14
