timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,Latency
1374661479209,347,Add Products,200,OK,Thread Group 1-5,text,true,234,347
1374661478456,1113,Add Products,200,OK,Thread Group 1-2,text,true,234,1113
1374661478589,1015,Add Products,200,OK,Thread Group 1-1,text,true,234,1015
1374661478699,1022,Add Products,200,OK,Thread Group 1-3,text,true,234,1022
1374661478981,808,Add Products,200,OK,Thread Group 1-4,text,true,234,808
1374661479662,407,Add Products,200,OK,Thread Group 1-6,text,true,234,407
1374661480266,291,Add Products,200,OK,Thread Group 1-4,text,true,234,291
1374661479974,694,Add Products,200,OK,Thread Group 1-5,text,true,234,694
1374661480323,409,Add Products,200,OK,Thread Group 1-7,text,true,234,409
1374661479989,846,Add Products,200,OK,Thread Group 1-2,text,true,234,845
1374661480231,615,Add Products,200,OK,Thread Group 1-3,text,true,234,615
1374661480614,358,Add Products,200,OK,Thread Group 1-6,text,true,234,358
1374661480744,582,Add Products,200,OK,Thread Group 1-8,text,true,234,582
1374661480962,467,Add Products,200,OK,Thread Group 1-4,text,true,234,467
1374661481010,538,Add Products,200,OK,Thread Group 1-9,text,true,234,538
1374661481076,768,Add Products,200,OK,Thread Group 1-5,text,true,234,768
1374661481146,736,Add Products,200,OK,Thread Group 1-7,text,true,234,736
1374661481247,766,Add Products,200,OK,Thread Group 1-2,text,true,234,766
1374661481371,650,Add Products,200,OK,Thread Group 1-6,text,true,234,650
1374661481242,1085,Add Products,200,OK,Thread Group 1-3,text,true,234,1085
1374661481559,912,Add Products,200,OK,Thread Group 1-10,text,true,234,912
1374661481748,834,Add Products,200,OK,Thread Group 1-8,text,true,234,834
1374661481839,750,Add Products,200,OK,Thread Group 1-4,text,true,234,750
1374661482058,696,Add Products,200,OK,Thread Group 1-9,text,true,234,696
1374661482267,856,Add Products,200,OK,Thread Group 1-5,text,true,234,856
1374661482415,715,Add Products,200,OK,Thread Group 1-2,text,true,234,715
1374661482453,888,Add Products,200,OK,Thread Group 1-6,text,true,234,888
1374661482410,938,Add Products,200,OK,Thread Group 1-7,text,true,234,938
1374661482741,985,Add Products,200,OK,Thread Group 1-3,text,true,234,985
1374661482870,1028,Add Products,200,OK,Thread Group 1-10,text,true,234,1028
1374661482981,1139,Add Products,200,OK,Thread Group 1-8,text,true,234,1139
1374661483027,1410,Add Products,200,OK,Thread Group 1-4,text,true,234,1410
1374661483177,1267,Add Products,200,OK,Thread Group 1-9,text,true,234,1267
1374661480036,4450,Add Products,200,OK,Thread Group 1-1,text,true,234,4450
1374661483748,933,Add Products,200,OK,Thread Group 1-6,text,true,234,933
1374661483538,1518,Add Products,200,OK,Thread Group 1-2,text,true,234,1518
